         9512 function calls (9468 primitive calls) in 0.260 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.261    0.261 profile.py:5(<module>)
        1    0.000    0.000    0.200    0.200 dbman.py:3(<module>)
        1    0.012    0.012    0.191    0.191 __init__.py:15(<module>)
        1    0.010    0.010    0.111    0.111 collection.py:15(<module>)
        1    0.011    0.011    0.072    0.072 __init__.py:16(<module>)
        1    0.001    0.001    0.068    0.068 mongo_client.py:32(<module>)
        1    0.000    0.000    0.060    0.060 collection.py:1350(aggregate)
        2    0.000    0.000    0.053    0.027 network.py:26(command)
        1    0.000    0.000    0.053    0.053 collection.py:165(_command)
        1    0.000    0.000    0.053    0.053 pool.py:166(command)
        2    0.000    0.000    0.048    0.024 network.py:58(receive_message)
        4    0.000    0.000    0.048    0.012 network.py:79(_receive_data_on_socket)
        4    0.048    0.012    0.048    0.012 {method 'recv' of '_socket.socket' objects}
        1    0.001    0.001    0.029    0.029 uri_parser.py:16(<module>)
        1    0.013    0.013    0.029    0.029 urllib.py:23(<module>)
        1    0.001    0.001    0.026    0.026 uuid.py:45(<module>)
        1    0.006    0.006    0.025    0.025 client_options.py:15(<module>)
        8    0.000    0.000    0.022    0.003 re.py:226(_compile)
        6    0.000    0.000    0.022    0.004 sre_compile.py:493(compile)
        1    0.005    0.005    0.020    0.020 objectid.py:17(<module>)
        1    0.001    0.001    0.020    0.020 common.py:16(<module>)
        6    0.000    0.000    0.019    0.003 sre_compile.py:478(_code)
        7    0.000    0.000    0.019    0.003 re.py:188(compile)
        1    0.001    0.001    0.019    0.019 pool.py:15(<module>)
        3    0.000    0.000    0.018    0.006 __init__.py:71(search_function)
      2/1    0.000    0.000    0.018    0.018 {method 'encode' of 'unicode' objects}
        3    0.000    0.000    0.018    0.006 {__import__}
        6    0.000    0.000    0.017    0.003 sre_compile.py:178(_compile_charset)
        7    0.007    0.001    0.017    0.002 collections.py:288(namedtuple)
        6    0.002    0.000    0.017    0.003 sre_compile.py:207(_optimize_charset)
        1    0.000    0.000    0.017    0.017 idna.py:3(<module>)
        1    0.007    0.007    0.016    0.016 auth.py:15(<module>)
        2    0.013    0.006    0.015    0.008 sre_compile.py:301(_optimize_unicode)
        1    0.006    0.006    0.013    0.013 urlparse.py:29(<module>)
        1    0.012    0.012    0.012    0.012 socket.py:45(<module>)
        1    0.000    0.000    0.012    0.012 util.py:252(find_library)
        1    0.000    0.000    0.012    0.012 util.py:214(_findSoname_ldconfig)
     12/6    0.000    0.000    0.012    0.002 sre_compile.py:32(_compile)
        1    0.000    0.000    0.010    0.010 topology.py:15(<module>)
        1    0.000    0.000    0.010    0.010 util.py:4(<module>)
        1    0.001    0.001    0.010    0.010 tempfile.py:18(<module>)
        1    0.002    0.002    0.010    0.010 topology_description.py:15(<module>)
        1    0.000    0.000    0.009    0.009 mongo_client.py:71(__init__)
       40    0.001    0.000    0.009    0.000 {all}
        1    0.008    0.008    0.008    0.008 {method 'read' of 'file' objects}
      421    0.007    0.000    0.008    0.000 collections.py:329(<genexpr>)
        1    0.006    0.006    0.007    0.007 io.py:34(<module>)
        2    0.007    0.003    0.007    0.004 errors.py:15(<module>)
        2    0.000    0.000    0.007    0.004 mongo_client.py:688(_socket_for_reads)
        6    0.000    0.000    0.007    0.001 sre_compile.py:359(_compile_info)
      4/1    0.000    0.000    0.007    0.007 contextlib.py:15(__enter__)
        2    0.000    0.000    0.007    0.003 mongo_client.py:661(_get_socket)
        2    0.000    0.000    0.007    0.003 server.py:100(get_socket)
        2    0.000    0.000    0.007    0.003 pool.py:484(get_socket)
        1    0.000    0.000    0.007    0.007 pool.py:521(_get_socket_no_auth)
        1    0.000    0.000    0.007    0.007 pool.py:460(connect)
        3    0.000    0.000    0.006    0.002 topology.py:54(open)
        3    0.000    0.000    0.006    0.002 topology.py:266(_ensure_opened)
        1    0.006    0.006    0.006    0.006 collections.py:1(<module>)
        1    0.000    0.000    0.006    0.006 topology.py:322(_update_servers)
        1    0.000    0.000    0.006    0.006 pool.py:144(__init__)
        1    0.000    0.000    0.006    0.006 topology.py:353(_create_pool_for_monitor)
        2    0.006    0.003    0.006    0.003 ismaster.py:98(max_message_size)
        2    0.005    0.003    0.005    0.003 pool.py:67(__init__)
     1001    0.004    0.000    0.005    0.000 __init__.py:341(<genexpr>)
        7    0.000    0.000    0.005    0.001 socket.py:223(meth)
        2    0.004    0.002    0.004    0.002 {method 'sendall' of '_socket.socket' objects}
        1    0.000    0.000    0.003    0.003 re.py:139(search)
     1736    0.003    0.000    0.003    0.000 {chr}
        1    0.002    0.002    0.003    0.003 __init__.py:4(<module>)
      485    0.002    0.000    0.003    0.000 urllib.py:1206(<genexpr>)
        6    0.000    0.000    0.003    0.000 sre_parse.py:675(parse)
      485    0.002    0.000    0.003    0.000 urlparse.py:332(<genexpr>)
        1    0.000    0.000    0.002    0.002 read_preferences.py:15(<module>)
      8/6    0.000    0.000    0.002    0.000 sre_parse.py:301(_parse_sub)
      8/6    0.001    0.000    0.002    0.000 sre_parse.py:379(_parse)
        1    0.000    0.000    0.002    0.002 helpers.py:15(<module>)
        1    0.001    0.001    0.002    0.002 threading.py:1(<module>)
        4    0.000    0.000    0.002    0.001 periodic_executor.py:46(open)
